Date,tmin,tmean,tmax,ppt
9/1/2011,24.5,28.5,32.4,0.01
9/2/2011,24.2,28.2,32.2,2.75
9/3/2011,23.1,26.5,29.9,42.46
9/4/2011,22,25,28,59.2
9/5/2011,23.6,26,28.3,41.13
9/6/2011,16.1,22.6,29.1,18.05
9/7/2011,14.2,20.8,27.4,0
9/8/2011,15.4,21.1,26.7,0
9/9/2011,15.5,21.2,26.9,0
9/10/2011,16,22.2,28.5,0
9/11/2011,16.7,23.1,29.5,0
9/12/2011,18,24.1,30.2,0
9/13/2011,20.3,26.4,32.4,0
9/14/2011,20.3,26,31.8,0
9/15/2011,21.7,27.3,32.8,0
9/16/2011,16,23.6,31.2,2.97
9/17/2011,17.8,22.5,27.3,0
9/18/2011,20.4,24.8,29.1,0
9/19/2011,20,24.4,28.8,0
9/20/2011,20.6,24.4,28.3,1.99
9/21/2011,22.2,25.9,29.7,0.05
9/22/2011,21.6,25.8,30.1,0.36
9/23/2011,20.6,23.9,27.2,31.79
9/24/2011,20,24.5,29,2.26
9/25/2011,20,24.8,29.5,0
9/26/2011,21.9,25.7,29.6,0
9/27/2011,21,25.7,30.4,0
9/28/2011,20.9,26,31.2,0
9/29/2011,17.3,22.2,27.1,28.87
9/30/2011,17.7,23.2,28.6,0
10/1/2011,12.8,21.6,30.5,0
10/2/2011,9.8,17.9,26,0
10/3/2011,9.6,16.4,23.3,0
10/4/2011,10.8,17.6,24.5,0
10/5/2011,12.7,19.8,26.9,0
10/6/2011,14.1,20.8,27.5,0
10/7/2011,17.1,22.6,28.1,0
10/8/2011,18.9,24,29.1,0
10/9/2011,19.2,24.1,29.1,0.79
10/10/2011,18.5,23.2,27.9,0
10/11/2011,18.6,22.3,25.9,0.03
10/12/2011,17.6,20.9,24.1,0
10/13/2011,16.2,20.2,24.3,0
10/14/2011,12.5,20,27.5,0
10/15/2011,12.7,20.4,28.1,0
10/16/2011,11.7,21.3,31,0
10/17/2011,12.4,21.7,31,0
10/18/2011,15.6,22.2,28.8,0
10/19/2011,10.7,18.8,26.8,0
10/20/2011,6.5,12.6,18.6,0
10/21/2011,4.1,11.6,19.1,0
10/22/2011,3.8,12.8,21.9,0
10/23/2011,4.8,13.4,22,0
10/24/2011,9,15.7,22.3,0
10/25/2011,9.4,17.7,26,0
10/26/2011,10.2,17.8,25.3,0
10/27/2011,12.6,18.8,24.9,0.71
10/28/2011,11.9,19,26.1,0
10/29/2011,9.2,17.9,26.7,0
10/30/2011,5.4,12.5,19.6,0
10/31/2011,7,13.4,19.7,0
11/1/2011,7.5,15.1,22.8,0
11/2/2011,7.9,14.7,21.5,0
11/3/2011,9.9,16.3,22.5,0
11/4/2011,5.4,15.5,25.6,3
11/5/2011,5.7,11.2,16.7,0
11/6/2011,7.3,14.2,21.2,0
11/7/2011,9.5,16.4,23.2,0
11/8/2011,12.6,18.3,24,0
11/9/2011,13.9,19.1,24.4,0
11/10/2011,9.6,16.7,23.8,7.42
11/11/2011,1.7,7.8,13.8,0
11/12/2011,1.1,9.5,17.9,0
11/13/2011,3.5,11.2,18.9,0
11/14/2011,13.5,18.6,23.6,0
11/15/2011,18.4,21.4,24.3,0
11/16/2011,20.2,22.2,24.2,0.55
11/17/2011,15,20.4,25.8,2.74
11/18/2011,4.3,12.1,19.9,0
11/19/2011,3.9,10.5,17,0
11/20/2011,12.1,16.3,20.5,0
11/21/2011,15.8,19.8,23.9,0
11/22/2011,16,20.4,24.8,0
11/23/2011,17.2,21.4,25.5,8.28
11/24/2011,8,14.8,21.6,0
11/25/2011,7.4,14,20.7,0
11/26/2011,10,15.9,21.7,0
11/27/2011,18.4,20.9,23.5,2.32
11/28/2011,7.8,14.9,22,12.23
11/29/2011,3.1,7.5,11.9,0
11/30/2011,3.4,9.1,14.8,0
12/1/2011,-0.7,5.9,12.4,0
12/2/2011,-0.1,7.4,14.9,0
12/3/2011,3.9,11.6,19.3,0
12/4/2011,6.7,13.9,21.1,0
12/5/2011,14.3,17.8,21.3,0
12/6/2011,16.2,19.2,22.3,6.87
12/7/2011,9.8,16.8,23.8,1.33
12/8/2011,0.8,6,11.2,0
12/9/2011,0.5,5.9,11.2,0
12/10/2011,2,8.7,15.4,0
12/11/2011,2.8,8.2,13.6,0
12/12/2011,3.6,7.8,11.9,6.58
12/13/2011,8.4,12.3,16.1,0
12/14/2011,9.1,14.5,19.9,0
12/15/2011,10.1,15.3,20.5,0
12/16/2011,11.7,16.8,21.8,0
12/17/2011,12.1,17.1,22.1,0
12/18/2011,3.5,10.2,16.8,0
12/19/2011,3.1,10,16.9,0
12/20/2011,5.4,12.5,19.6,0.06
12/21/2011,17.4,19.2,21.1,10.98
12/22/2011,18.2,20.6,23.1,2.34
12/23/2011,12.2,17.5,22.8,4.74
12/24/2011,7.5,12.2,16.9,0
12/25/2011,7.3,13.3,19.4,0
12/26/2011,12.5,15.7,18.9,2.86
12/27/2011,11.8,15.5,19.1,30.18
12/28/2011,3.1,8.7,14.2,0
12/29/2011,3.1,8.7,14.3,0
12/30/2011,4.6,11.4,18.1,9.9
12/31/2011,10.5,16.1,21.7,0
1/1/2012,10.5,15.2,19.9,0
1/2/2012,6.1,14.5,22.9,0
1/3/2012,-0.3,6.4,13.1,0
1/4/2012,-4.6,2,8.5,0
1/5/2012,1,6.5,12.1,0
1/6/2012,8.1,14,20,0
1/7/2012,7.4,12.7,18,0.27
1/8/2012,8.3,14.9,21.4,0.37
1/9/2012,10.9,16.7,22.5,0
1/10/2012,15.3,18.2,21,0
1/11/2012,13.3,16.7,20.2,7.23
1/12/2012,8.4,12.4,16.3,0
1/13/2012,-0.9,9.7,20.2,0
1/14/2012,-1.7,4,9.7,0
1/15/2012,-1.8,5.7,13.2,0
1/16/2012,2.5,9.3,16.2,0
1/17/2012,9.9,14.5,19,0
1/18/2012,11.6,16.9,22.2,21.13
1/19/2012,2.5,9.4,16.4,0
1/20/2012,2.6,10.3,18,1.32
1/21/2012,16.7,18.9,21.2,1.74
1/22/2012,18.3,20.5,22.7,3.92
1/23/2012,17.9,19.6,21.4,0
1/24/2012,15.5,19.1,22.7,4.83
1/25/2012,14.5,18.4,22.4,0
1/26/2012,16.6,19.5,22.4,11.26
1/27/2012,11.6,16.8,21.9,25.41
1/28/2012,3.8,10.9,18.1,0
1/29/2012,3.6,11.6,19.6,0
1/30/2012,0.7,8.9,17.1,0
1/31/2012,1.6,9.8,18,0
2/1/2012,9.9,15,20.1,0
2/2/2012,12.8,16.1,19.5,34.19
2/3/2012,14.5,18.1,21.7,0
2/4/2012,15.9,18.2,20.6,0
2/5/2012,17.3,19.3,21.3,0
2/6/2012,11.1,16.6,22.1,0
2/7/2012,10.5,15.3,20.1,0
2/8/2012,8.9,15,21.1,0
2/9/2012,4.8,12.4,20.1,0
2/10/2012,5.8,11,16.1,0
2/11/2012,6.8,11.3,15.7,0.53
2/12/2012,-2.8,4.5,11.9,0
2/13/2012,-3,3.1,9.2,0
2/14/2012,0.1,8.2,16.3,8.4
2/15/2012,7.5,12.8,18.2,3.74
2/16/2012,8.5,13.7,18.9,31.41
2/17/2012,14.6,18.2,21.8,5.48
2/18/2012,13.7,16.7,19.6,0.35
2/19/2012,14.6,17.1,19.6,57.05
2/20/2012,4.3,11.4,18.5,0.07
2/21/2012,4.3,11,17.6,0.25
2/22/2012,9.5,13.9,18.4,0
2/23/2012,10.9,15.4,19.9,0
2/24/2012,18.3,20.6,22.9,1.68
2/25/2012,9,16.2,23.4,3.3
2/26/2012,8.4,12.7,16.9,0.07
2/27/2012,10,12.2,14.4,0.19
2/28/2012,12,14.4,16.9,0
2/29/2012,15.9,18,20.2,0
3/1/2012,17.7,19.8,22,0
3/2/2012,18.6,21.3,24,0
3/3/2012,19.6,21.2,22.8,28.52
3/4/2012,6.8,13.5,20.3,110.27
3/5/2012,6.5,12.2,17.8,0
3/6/2012,8.3,15.6,22.9,0
3/7/2012,9.2,14.6,20.1,0
3/8/2012,15,18.4,21.9,0
3/9/2012,16.2,19.1,22.1,0
3/10/2012,8.9,14.9,20.9,4.01
3/11/2012,10.1,16.1,22.1,0
3/12/2012,15.1,17.7,20.3,0.46
3/13/2012,18.2,19.7,21.1,1.17
3/14/2012,16.7,20,23.3,0
3/15/2012,15.1,19.9,24.7,0
3/16/2012,14.9,21.2,27.5,0
3/17/2012,13.8,20,26.2,0
3/18/2012,13.9,19.4,24.8,0
3/19/2012,14.8,20.2,25.5,0
3/20/2012,16.9,21.3,25.6,0
3/21/2012,19.1,22.2,25.2,0
3/22/2012,20.3,22.5,24.8,0
3/23/2012,21.6,23.4,25.3,0
3/24/2012,16.1,20,23.9,15.34
3/25/2012,12.3,19.7,27.2,0
3/26/2012,12.4,19.9,27.4,0
3/27/2012,13.3,19.9,26.5,0
3/28/2012,14.4,20.9,27.4,0
3/29/2012,15.4,20.5,25.5,0
3/30/2012,16.6,20.9,25.1,0
3/31/2012,18.2,22,25.8,26.39
4/1/2012,18.3,21.4,24.5,7.26
4/2/2012,21.2,24.1,27,0
4/3/2012,18.3,22.7,27.2,8.33
4/4/2012,17.9,21,24,8.36
4/5/2012,14.6,19,23.4,0.49
4/6/2012,13.8,19.3,24.8,2.95
4/7/2012,13.8,19,24.2,0
4/8/2012,10.1,16,21.9,0
4/9/2012,13.4,18.9,24.3,0
4/10/2012,12.9,19.2,25.5,0
4/11/2012,14.7,20.1,25.6,0
4/12/2012,11.8,18.5,25.2,0
4/13/2012,10.3,16.6,22.8,0
4/14/2012,12.9,18.8,24.8,0
4/15/2012,18.1,21.9,25.6,0
4/16/2012,21.4,23.8,26.2,0
4/17/2012,17.3,21.8,26.3,0
4/18/2012,17.9,22.2,26.4,25.5
4/19/2012,16.6,21.4,26.1,25.22
4/20/2012,16.6,20.7,24.7,0
4/21/2012,14.1,20.1,26.1,0
4/22/2012,13,17.2,21.3,27.94
4/23/2012,11.1,17.7,24.3,0
4/24/2012,7,13.5,20.1,0
4/25/2012,11.3,16.4,21.4,0
4/26/2012,17.5,20.9,24.2,0
4/27/2012,19.4,22.8,26.3,0
4/28/2012,15.1,20.4,25.7,0
4/29/2012,13.5,19.7,25.8,0
4/30/2012,16.9,22.4,28,0
5/1/2012,18.3,24.3,30.4,0
5/2/2012,20.4,24.2,27.9,0
5/3/2012,21.7,24.4,27.2,8.94
5/4/2012,20.7,23.4,26.1,17.97
5/5/2012,20.2,23.1,26.1,0
5/6/2012,20.2,24.1,28.1,0.69
5/7/2012,18,23.2,28.5,0
5/8/2012,20.1,23.9,27.8,0
5/9/2012,19.8,23.9,28.1,0.19
5/10/2012,14.4,20.9,27.3,2.4
5/11/2012,14.8,20.9,27,0
5/12/2012,20.4,23.8,27.2,0
5/13/2012,21,23.9,26.7,24.53
5/14/2012,19.9,23.4,27,2.97
5/15/2012,19.2,23.5,27.8,0
5/16/2012,19.4,23.5,27.6,0.27
5/17/2012,16.8,23,29.2,15.53
5/18/2012,17.9,23.3,28.7,0
5/19/2012,19.3,24.9,30.4,0
5/20/2012,17.2,23.7,30.2,0
5/21/2012,17.3,23.3,29.3,0
5/22/2012,18.2,24.6,31,1.82
5/23/2012,17.9,23.2,28.5,0
5/24/2012,21.9,25.7,29.6,0.05
5/25/2012,19.5,24.6,29.7,0
5/26/2012,21.8,27.2,32.6,0
5/27/2012,23.7,28.4,33,0
5/28/2012,22,28.5,35,0
5/29/2012,22.2,28.4,34.6,0
5/30/2012,23.6,28.6,33.5,0.69
5/31/2012,22.1,27,32,2.54
6/1/2012,21.1,26.5,32,5.28
